id,name_en,name_ja,name_kana,category,prefecture,address,Lien google map,city,score
1180136,ENGYŌJIGUCHI STATION,円行寺口,,station,Kochi,"2-chōme-20-117 Shinyashiki, 高知市 高知県 780-0911, Japan",https://www.google.com/maps/place/?q=place_id:ChIJi7TdWdgYTjUR6zf5Ivp_em0,Kochi,10
1180137,Asahi Station,旭,,station,Kochi,"49 Asahiekimaecho, Kochi, 780-0938, Japan",https://www.google.com/maps/place/?q=place_id:ChIJVzf7tu4YTjURtzct8okfOI8,Kochi,10
1180138,Kōchi-Shōgyōmae Station,高知商業前,,station,Kochi,"Nagaoyamacho, Kochi, 780-0953, Japan",https://www.google.com/maps/place/?q=place_id:ChIJodoAbY4YTjURn15yjoV7PC8,Kochi,10
1180139,Asakura Station,朝倉,,station,Kochi,"Hei-107 Asakura, 高知市 高知県 780-8063, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ4bpZMn8YTjURv77BnA2g-GU,Kochi,10
1180140,Edagawa Station,枝川,,station,Kochi,"Edagawa, Ino, Agawa District, Kochi 781-2120, Japan",https://www.google.com/maps/place/?q=place_id:ChIJmQ-e7t4iTjURPGYT4N7GiWs,Ino,10
1180141,Ino Station,伊野,,station,Kochi,"Shinmachi, Ino, Agawa District, Kochi 781-2110, Japan",https://www.google.com/maps/place/?q=place_id:ChIJA6sjEDQjTjUR_y3wkh5wCII,Ino,10
1180142,Hakawa Station,波川,,station,Kochi,"Hakawa, Ino, Agawa District, Kochi 781-2128, Japan",https://www.google.com/maps/place/?q=place_id:ChIJcY_rqq88TjURB5hPhRlQuuc,Ino,10
1180143,Kusaka Station,日下,,station,Kochi,"Hongo, Hidaka, Takaoka District, Kochi 781-2153, Japan",https://www.google.com/maps/place/?q=place_id:ChIJG1WImgA7TjURQfWIo6uDyEg,Hidaka,10
1180144,Okabana Station,岡花,,station,Kochi,"Hongo, Hidaka, Takaoka District, Kochi 781-2153, Japan",https://www.google.com/maps/place/?q=place_id:ChIJsY9bq0M6TjURnq7LGsM0NPg,Hidaka,10
1180145,Tosakamo Station,土佐加茂,,station,Kochi,"Kamo, Sakawa, Takaoka District, Kochi 789-1204, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ17OPbK4wTjURf1ooFx5gOwU,Sakawa,10
1180146,Nishi-Sakawa Station,西佐川,,station,Kochi,"Otsu, Sakawa, Takaoka District, Kochi 789-1202, Japan",https://www.google.com/maps/place/?q=place_id:ChIJQy5DKOE2TjURdBvcp1EE8h0,Sakawa,10
1180147,Sakawa Station,佐川,,station,Kochi,"Ko, Sakawa, Takaoka District, Kochi 789-1201, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ_YkETwI3TjUR8hkFvmrhWmc,Sakawa,10
1180148,Erinono Station,襟野々,,station,Kochi,"Nagano, Sakawa, Takaoka District, Kochi 789-1231, Japan",https://www.google.com/maps/place/?q=place_id:ChIJzWjxf6g3TjURfXx_7Mv0-Wc,Sakawa,10
